keyword,count,mean_ret,median_ret,win_rate,t_stat
배당 잔치,3,0.0013085902100794633,0.0018458623267319368,0.6666666666666666,0.497999986450894
파업 예고,4,0.0011333141359969343,0.0040422625424841735,0.75,0.228400004476154
매수,10,0.0011087395630669783,0.0012626115467824083,0.5,0.26354667347626
역대 최대,3,0.0010306314349007005,0.002832114801276542,0.6666666666666666,0.3273131550518659
삼성전자 자사,4,0.000949254466991322,-0.002357304413479264,0.25,0.2734557037748877
흑자전환,4,0.0009147721336621881,0.0038790292582852265,0.5,0.16076306753235425
흑자 전환,4,0.0009147721336621881,0.0038790292582852265,0.5,0.16076306753235425
화재,10,0.0006024735238040484,-0.0007228303043919438,0.4,0.22498999380729393
악재,8,0.000556505870606089,-0.0044042528382023,0.375,0.09279704314580389
계약체결,6,0.0005370558254519692,-0.0007373642054869741,0.3333333333333333,0.11130297086206523
계약 체결,6,0.0005370558254519692,-0.0007373642054869741,0.3333333333333333,0.11130297086206523
밸류업 공시,3,0.00032453499749970335,0.002832114801276542,0.6666666666666666,0.06387958655068618
박종면 칼럼,3,0.000137856655577573,-0.009334960720154994,0.3333333333333333,0.015505342203835096
기대,18,7.268152685169915e-05,-0.0008621550341390712,0.4444444444444444,0.028071225952772946
질주,3,-1.04768199730903e-05,0.0006796900274199926,0.6666666666666666,-0.001888537511559386
파업예고,6,-0.0003359401867736799,0.0002478414520355797,0.5,-0.09620737099232804
돌파,14,-0.0003991718491349064,-0.001711465730794906,0.42857142857142855,-0.14191442969653625
밸류 공시,3,-0.0005536647030795028,-0.00018400712334883324,0.3333333333333333,-0.45101818436344454
총파업,5,-0.0006546953667861022,-0.00018400712334883324,0.4,-0.21274418282873203
최대실적,3,-0.0006762009835682299,0.002832114801276542,0.6666666666666666,-0.15018470087138777
최대 실적,3,-0.0006762009835682299,0.002832114801276542,0.6666666666666666,-0.15018470087138777
사상최고,3,-0.000854395956584,-0.005192083414116268,0.3333333333333333,-0.13586874662286905
호황,7,-0.0009808831060149758,-0.0014174183605664172,0.2857142857142857,-0.2543226132157164
삼성전자 파운드리,5,-0.0010003943576784356,-0.0006754150932222875,0.4,-0.2057043097443412
삼성전자 주식,5,-0.0010655453877931281,-0.000703902183806027,0.4,-0.5431080550947783
상법 개정,3,-0.0012308668500019798,-0.004514767266067305,0.3333333333333333,-0.2033758741681181
삼성 화재,4,-0.001231843924036359,-0.0007228303043919438,0.25,-0.7445199671996734
훈풍,4,-0.0012836355701141052,-0.0022595141072745233,0.5,-0.2191529381447785
가격 급등,3,-0.0015320002980445287,-0.001167836703262223,0.3333333333333333,-0.9093358957925457
이재용 회장,6,-0.0018904153483401216,-0.0036462689133023958,0.16666666666666666,-0.37153878800594037
상승,16,-0.001892125043962387,-0.00024544941553027925,0.4375,-0.6544284878227921
역대 실적,3,-0.002228951014075762,-0.00018400712334883324,0.3333333333333333,-0.7462542883859425
급등,11,-0.0023576866905659325,-0.003546772123696305,0.36363636363636365,-0.7397332669472887
급락,6,-0.002560568998337339,-0.009993500882690324,0.16666666666666666,-0.4077695398757228
성과급 지급,5,-0.0028048609745477343,-0.003546772123696305,0.2,-0.49825920639693516
수혜,3,-0.0028922854765728516,-0.004295178010182277,0.3333333333333333,-0.9546893765062763
출시,7,-0.0030819445211022613,-0.005192083414116268,0.2857142857142857,-0.920386721978234
일론 머스크,4,-0.0030976116767150886,-0.0001733198236044955,0.25,-0.6584724531624894
기업 가치,3,-0.0033625302136169083,0.0018458623267319368,0.6666666666666666,-0.7214072085138574
위기,7,-0.0034887318938210165,-0.006364890541280983,0.2857142857142857,-1.0450415517177098
주가 상승,3,-0.0035800548320416782,-0.004295178010182277,0.0,-2.5479138450448655
리스크,5,-0.0036912179203890177,-0.0014174183605664172,0.2,-0.8692188028409737
삼성 물산,7,-0.0037382581677642334,-0.005192083414116268,0.14285714285714285,-1.4562848624823077
지분 매각,7,-0.004115314546244445,-0.0052740265176033,0.2857142857142857,-1.159845938036866
공급 계약 체결,4,-0.004377402929679154,-0.0008621550341390712,0.25,-1.0421624172517634
자사 성과급,5,-0.00483153393132064,-0.003546772123696305,0.2,-1.1720092829155495
공급 계약,5,-0.004876711452976915,-0.0014174183605664172,0.2,-1.4386454585865114
계약자 배당,3,-0.005218638910767214,-0.008501613968692874,0.3333333333333333,-1.8079698330883538
터보 퀀트,4,-0.005436221850197988,-0.0044042528382023,0.25,-1.4303892943365983
회복,3,-0.005681545574022777,-0.009334960720154994,0.3333333333333333,-0.9498215801036227
슈퍼 사이클,7,-0.0061319570163596545,-0.008876003136164577,0.2857142857142857,-1.278360790227836
반도체 장비,3,-0.006704269813114839,-0.0052740265176033,0.0,-2.320637027890342
장비 공급 계약,3,-0.006797595724212017,-0.0014174183605664172,0.0,-1.4006042683252977
장비 공급,3,-0.006797595724212017,-0.0014174183605664172,0.0,-1.4006042683252977
호재,8,-0.006917563747669281,-0.011302309470676154,0.125,-2.095888147365944
분기 영업 이익,3,-0.0077259957319273246,-0.011485387796687774,0.3333333333333333,-1.7681825846415633
분기 영업,3,-0.0077259957319273246,-0.011485387796687774,0.3333333333333333,-1.7681825846415633
사상최대,3,-0.008317228810051428,-0.011485387796687774,0.3333333333333333,-1.7730403456246369
사상 최대,3,-0.008317228810051428,-0.011485387796687774,0.3333333333333333,-1.7730403456246369
임원 자사,4,-0.008349876665481036,-0.007139990973187178,0.0,-2.508425185876971
자사 성과급 지급,4,-0.008349876665481036,-0.007139990973187178,0.0,-2.508425185876971
임원 자사 성과급,4,-0.008349876665481036,-0.007139990973187178,0.0,-2.508425185876971
임원 자사 성과급 지급,4,-0.008349876665481036,-0.007139990973187178,0.0,-2.508425185876971
쇼크,4,-0.008686334293987515,-0.008173054622729266,0.0,-2.751759616976146
증가,5,-0.009082274107350812,-0.002005513101023395,0.4,-1.4438244812665078
불확실성,3,-0.010787096296406203,-0.009334960720154994,0.0,-7.011589609406502
경고,3,-0.012822405940777316,-0.014524714200370742,0.0,-3.966484472622946
